Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check,Columna Extra
FR-0,2856,17,Operador 6,2025-10-25,Entrega,46869,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,74422,Ciudad,Centro,Calle 48,199.59,7,18:47,14:55,ABC-560,2,Sí,Cambio ruta,Extra
FR-1,5977,4,Operador 18,2025-12-09,Recolección,66808,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,55273,Ciudad,Centro,Calle 22,194.89,4,22:26,2:40,ABC-692,2,No,Cambio ruta,Extra
FR-2,1424,38,Operador 36,2025-05-23,Entrega,32077,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,33056,Ciudad,Centro,Calle 40,153.98,6,16:13,16:31,ABC-509,3,Sí,Botón pánico,Extra
FR-3,1864,7,Operador 9,2025-11-04,Entrega,45733,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,42504,Ciudad,Centro,Calle 5,194.67,5,5:54,11:50,ABC-186,2,No,OK,Extra
FR-4,5067,24,Operador 32,2025-06-24,Recolección,23751,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,23185,Ciudad,Centro,Calle 38,236.57,4,4:53,16:34,ABC-652,1,Sí,OK,Extra
FR-5,6594,1,Operador 36,2026-01-29,Traslado,21303,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,38796,Ciudad,Centro,Calle 63,189.02,6,6:47,14:07,ABC-392,3,Sí,OK,Extra
FR-6,4355,2,Operador 41,2025-08-05,Recolección,13443,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,35670,Ciudad,Centro,Calle 34,76.28,5,8:34,18:22,ABC-613,1,Sí,OK,Extra
FR-7,7760,25,Operador 42,2025-09-03,Entrega,17843,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,49671,Ciudad,Centro,Calle 46,75.9,8,15:49,4:41,ABC-420,2,No,Cambio ruta,Extra
FR-8,6349,4,Operador 24,2025-08-07,Recolección,68500,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,70146,Ciudad,Centro,Calle 59,250.77,8,6:52,13:42,ABC-735,3,No,Cambio ruta,Extra
FR-9,5850,21,Operador 10,2025-09-20,Traslado,23771,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,14052,Ciudad,Centro,Calle 37,110.02,5,1:39,8:02,ABC-244,2,Sí,Botón pánico,Extra
FR-10,4026,13,Operador 26,2025-10-16,Entrega,62414,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,79811,Ciudad,Centro,Calle 68,165.68,8,22:06,18:20,ABC-717,1,No,Botón pánico,Extra
FR-11,4844,42,Operador 43,2025-07-22,Recolección,62875,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,56119,Ciudad,Centro,Calle 96,227.36,6,12:55,20:15,ABC-909,1,Sí,OK,Extra
FR-12,2997,13,Operador 34,2026-01-02,Traslado,43972,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,92653,Ciudad,Centro,Calle 60,296.8,6,22:26,18:51,ABC-578,3,Sí,OK,Extra
FR-13,5241,17,Operador 43,2025-05-12,Recolección,45093,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,42229,Ciudad,Centro,Calle 98,68.65,4,15:48,13:43,ABC-883,2,Sí,Botón pánico,Extra
FR-14,6733,45,Operador 25,2025-11-18,Recolección,44944,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,75773,Ciudad,Centro,Calle 53,146.87,7,13:49,6:43,ABC-407,1,No,Cambio ruta,Extra
FR-15,3883,19,Operador 28,2026-03-13,Entrega,22162,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,17358,Ciudad,Centro,Calle 50,93.31,5,20:04,17:47,ABC-986,3,Sí,Cambio ruta,Extra
