Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check
FR-0,4751,22,Operador 39,2025-12-30,Recolección,39221,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,54346,Ciudad,Centro,Calle 43,222.13,2,10:51,13:17,ABC-403,3,Sí,OK
FR-1,7405,44,Operador 3,2026-01-25,Entrega,15795,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,64094,Ciudad,Centro,Calle 49,143.64,5,23:13,16:42,ABC-599,3,No,Botón pánico
FR-2,2889,34,Operador 38,2025-05-18,Recolección,75992,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,50998,Ciudad,Centro,Calle 17,196.61,9,19:18,7:04,ABC-427,3,Sí,Cambio ruta
FR-3,8066,35,Operador 19,2025-06-17,Entrega,53848,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,69452,Ciudad,Centro,Calle 50,89.6,3,9:37,5:22,ABC-721,2,No,Botón pánico
FR-4,2489,15,Operador 7,2025-10-10,Traslado,71020,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,29409,Ciudad,Centro,Calle 69,142.8,1,6:33,10:48,ABC-289,2,Sí,Botón pánico
FR-5,7064,6,Operador 46,2025-04-30,Recolección,89253,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,41526,Ciudad,Centro,Calle 76,275.51,4,15:43,6:29,ABC-341,3,Sí,Cambio ruta
FR-6,4434,24,Operador 3,2025-12-06,Entrega,23857,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,93653,Ciudad,Centro,Calle 52,106.77,3,8:31,3:35,ABC-475,2,No,Botón pánico
FR-7,3245,24,Operador 34,2026-02-07,Recolección,58793,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,39019,Ciudad,Centro,Calle 22,150.14,3,22:28,17:36,ABC-608,1,No,OK
FR-8,4069,42,Operador 29,2026-02-02,Entrega,74462,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,25493,Ciudad,Centro,Calle 88,55.48,1,23:49,12:15,ABC-367,2,No,Botón pánico
FR-9,1852,35,Operador 20,2025-07-10,Traslado,91216,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,74161,Ciudad,Centro,Calle 100,116.9,6,21:43,14:15,ABC-775,2,Sí,Botón pánico
FR-10,7608,17,Operador 44,2025-11-05,Traslado,35739,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,48341,Ciudad,Centro,Calle 11,296.1,3,7:28,2:24,ABC-741,2,Sí,Cambio ruta
FR-11,1393,32,Operador 23,2026-03-03,Entrega,99800,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,94786,Ciudad,Centro,Calle 22,214.42,9,19:43,2:42,ABC-925,3,Sí,Cambio ruta
FR-12,8089,23,Operador 28,2025-10-06,Traslado,60073,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,21151,Ciudad,Centro,Calle 56,93.79,4,18:53,14:33,ABC-853,2,No,Botón pánico
FR-13,2056,20,Operador 32,2026-01-21,Entrega,12494,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,76091,Ciudad,Centro,Calle 66,172.87,6,7:58,20:47,ABC-631,3,Sí,Botón pánico
FR-14,9858,20,Operador 9,2025-05-13,Traslado,25932,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,35035,Ciudad,Centro,Calle 18,72.25,10,5:11,5:21,ABC-762,2,Sí,OK
FR-15,9278,32,Operador 26,2025-08-06,Recolección,26180,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,74059,Ciudad,Centro,Calle 62,107.57,7,15:31,0:09,ABC-142,2,Sí,Botón pánico
FR-16,6134,11,Operador 26,2025-09-21,Entrega,56274,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,44713,Ciudad,Centro,Calle 15,116.0,8,17:42,13:33,ABC-878,3,Sí,Cambio ruta
FR-17,4195,19,Operador 30,2025-08-28,Traslado,32252,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,91546,Ciudad,Centro,Calle 42,221.74,6,11:32,7:14,ABC-735,1,Sí,Cambio ruta
FR-18,4102,35,Operador 29,2025-11-09,Recolección,91188,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,10542,Ciudad,Centro,Calle 63,246.77,6,4:10,16:49,ABC-950,3,No,OK
FR-19,3462,45,Operador 1,2026-03-17,Recolección,62912,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,20272,Ciudad,Centro,Calle 4,181.78,10,9:37,22:24,ABC-919,3,Sí,Cambio ruta
FR-20,6695,32,Operador 17,2025-05-04,Traslado,31980,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,20400,Ciudad,Centro,Calle 80,99.63,7,18:44,21:45,ABC-745,3,Sí,Cambio ruta
FR-21,6614,19,Operador 46,2025-05-06,Entrega,11737,CDMX-Veracruz,Ruta 1,Cliente 14,CDMX,19848,Ciudad,Centro,Calle 91,94.64,6,7:42,16:40,ABC-368,1,Sí,Cambio ruta
FR-22,4486,50,Operador 26,2025-06-19,Traslado,53221,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,19976,Ciudad,Centro,Calle 39,170.53,3,11:27,8:20,ABC-575,2,Sí,OK
FR-23,5201,27,Operador 21,2025-05-14,Recolección,87348,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,59144,Ciudad,Centro,Calle 91,140.59,1,16:22,13:38,ABC-784,1,No,OK
FR-24,5651,18,Operador 48,2025-11-03,Recolección,93856,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,81550,Ciudad,Centro,Calle 50,60.33,3,17:26,4:30,ABC-835,2,Sí,Cambio ruta
FR-25,6019,32,Operador 36,2025-06-28,Recolección,86400,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,70313,Ciudad,Centro,Calle 7,102.98,2,5:14,19:41,ABC-834,1,No,OK
FR-26,9527,3,Operador 35,2025-10-10,Entrega,64912,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,14476,Ciudad,Centro,Calle 73,69.82,8,15:24,18:55,ABC-553,2,No,OK
FR-27,6952,31,Operador 43,2025-11-16,Recolección,61800,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,64284,Ciudad,Centro,Calle 5,50.93,1,1:43,21:50,ABC-774,1,No,Cambio ruta
FR-28,2161,3,Operador 36,2025-04-27,Recolección,33311,CDMX-Veracruz,Ruta 1,Cliente 4,CDMX,64947,Ciudad,Centro,Calle 71,164.59,7,10:34,9:16,ABC-202,3,No,OK
FR-29,4302,39,Operador 33,2025-07-21,Recolección,83196,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,79466,Ciudad,Centro,Calle 43,162.65,10,16:17,16:03,ABC-853,3,No,Cambio ruta
FR-30,7471,48,Operador 45,2025-10-14,Entrega,99513,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,31702,Ciudad,Centro,Calle 1,281.01,5,5:38,7:52,ABC-749,3,No,OK
FR-31,7909,12,Operador 34,2025-05-14,Traslado,59252,CDMX-Veracruz,Ruta 1,Cliente 3,CDMX,36126,Ciudad,Centro,Calle 44,82.08,3,15:56,23:04,ABC-554,2,Sí,Cambio ruta
FR-32,7377,50,Operador 15,2025-10-03,Recolección,37890,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,85608,Ciudad,Centro,Calle 84,171.41,3,20:54,12:59,ABC-422,1,Sí,OK
FR-33,6549,36,Operador 22,2025-07-28,Entrega,83507,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,21403,Ciudad,Centro,Calle 26,266.36,7,20:35,17:16,ABC-137,2,Sí,Cambio ruta
FR-34,8917,15,Operador 39,2025-10-01,Entrega,48683,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,91476,Ciudad,Centro,Calle 97,94.0,10,10:41,1:50,ABC-641,2,No,Botón pánico
FR-35,7809,13,Operador 9,2026-03-13,Recolección,16127,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,68590,Ciudad,Centro,Calle 48,247.75,5,10:28,11:31,ABC-700,1,Sí,OK
FR-36,6186,27,Operador 13,2025-05-29,Entrega,94904,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,88829,Ciudad,Centro,Calle 2,260.49,4,10:13,19:14,ABC-160,1,No,Cambio ruta
FR-37,7584,25,Operador 25,2026-01-24,Traslado,22969,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,67458,Ciudad,Centro,Calle 95,196.63,7,10:49,4:51,ABC-763,1,Sí,OK
FR-38,2877,43,Operador 2,2025-10-02,Entrega,76083,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,42496,Ciudad,Centro,Calle 85,88.81,2,2:39,23:06,ABC-926,3,Sí,Cambio ruta
FR-39,2729,49,Operador 31,2025-09-20,Recolección,70274,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,98574,Ciudad,Centro,Calle 43,278.22,4,7:39,8:24,ABC-848,2,No,Cambio ruta
